AnRights,Misanthropy,Idealism
1.3333333333,2,3.2
1.5833333333,2.2,2.8
2.0833333333,2,4.1
1.5833333333,2.4,4.3
1.75,2,3.2
1.3333333333,1,4.6
1.8333333333,1,4.6
1.8333333333,2.2,3.3
1.9166666667,1.4,4.2
2.9166666667,2.2,3.3
1.25,1.4,3.5
2.25,2.4,3.6
2.1666666667,1.6,3.5
3,1.4,4
2.5833333333,2.8,3.1
3.3333333333,1.8,2.4
2.5833333333,3.6,3.5
1.6666666667,3.6,3.7
1.5833333333,2.6,3.3
2.3333333333,2.2,3.5
1.6666666667,2.4,3.5
2,2.8,3.9
2.5833333333,2.8,3.3
1.4166666667,1.4,2.9
1.3333333333,2,3.4
2,1.8,4.3
2.75,1.6,4.4
2.5833333333,2,3.8
1.5833333333,3.6,3.7
2.25,2.6,3
3.2,2.2,3.8
1.9166666667,2.6,3.8
2.5833333333,3,4.1
1.5,2.4,3.2
2.0833333333,2.4,3.6
1.75,1.8,4.2
2.25,3.2,4.6
1.3333333333,1.8,3.4
3.5,2.8,3.2
1.9166666667,2.2,4.4
2.5833333333,2.2,4.2
2.4166666667,2.2,4.4
3.0833333333,3.2,3.3
2,2,2.4
2.5,2,4
1.4166666667,2.2,3.5
1.8333333333,2.6,3
2.0833333333,2.4,2.8
1.5833333333,1.4,3.3
1.25,3,4.3
2.6666666667,3.4,3.8
1.5833333333,1.4,3.7
2,1.8,3.5
2.4166666667,1.6,3.9
1.9166666667,3,3.5
1.8333333333,1.8,3.7
2.8333333333,3.4,3.8
2.5833333333,2.2,4.4
2.5,1.8,3.9
4.3333333333,3.8,3.7
2.4166666667,3,4
2,1.6,3.6
2.6666666667,3,3.7
2.3333333333,2.8,3.2
2.6666666667,3.8,4.4
2.1666666667,2,2.5
3,2.8,2.3
2.9166666667,3.6,3.6
3.4166666667,2.2,4.4
2.9166666667,4,3
2.75,2.4,3.6
2.3333333333,2.4,3.7
1.5,2.4,2.8
3.0833333333,2.6,4
1.4166666667,3.6,3.9
2.0833333333,2,4.3
1.8333333333,1.8,3.5
2.75,1.8,5
2.3333333333,1.4,4.3
2.3333333333,2.8,3.3
1.75,2.2,3.1
2.6666666667,2,3.5
1.9166666667,3.6,2.6
2.25,2.4,3.8
2.25,2.4,3.3
1.5,1.8,3.6
1.4166666667,2.6,3.2
1.5833333333,2.4,2.9
1.5833333333,2,4.2
3.5833333333,3.2,2.8
2.8333333333,2.4,3.7
2.25,3,3.5
1.75,1.4,3.5
2.3333333333,3.2,3.8
2,1.8,4.5
1.4166666667,1.6,3.1
3.4166666667,2,3.3
3.1666666667,3.2,3.5
1.4166666667,1.6,3.1
2.3333333333,2.2,3
1.4166666667,1,3
1.5833333333,1.8,3.7
1.9166666667,2.4,4.3
1.5833333333,1.6,3.7
2.5833333333,3.8,2.6
1.5833333333,1.4,4.6
1.1666666667,1.2,3.8
1.4166666667,2.4,3.7
1.1666666667,2.2,3.3333333333
3.0833333333,2.4,3.8
2.0833333333,1.6,4.7142857143
1.4166666667,1.8,3.2
2,3.4,3
2.25,2.2,3.1
1.3333333333,2.6,4.4
1.5833333333,2.2,2.8
2.4166666667,2.6,3.6
2.8333333333,4,3.3
2.5833333333,1.8,4
1.5833333333,2.4,3.4
2,2.6,3.7
2.4166666667,2.4,3.9
1.0833333333,3.2,4.2
2.6666666667,1.8,4.2
2,2.2,3.3
2.6666666667,2.4,3.8
1.5,1.6,3.3
1.8333333333,1.8,4.3
2.4166666667,2.8,3.8
2.1666666667,2.4,3.4
3.0833333333,2.4,3.7
2.75,2,3.9
1.6666666667,2,4
2.25,3.8,4.4
2.75,2.6,4.8
1.6666666667,1.6,3.8
2.5833333333,2,4.5
1.5,1.6,3.2
3.1666666667,1.2,3.8
2.4166666667,2.4,4.1
1.75,2.6,4
2.25,3,2.8888888889
2.3333333333,2,3.7
2.5833333333,2.6,3.6
1.9166666667,2.8,3.2
1.9166666667,2.8,4.1
1.9,1.6,4
2,1.2,3.6
2.8333333333,1.8,3.5
1.3333333333,2.6,4.3
2.5833333333,2.2,3.9
1.5833333333,3,3.7
2.4166666667,2.4,3.5
2.5833333333,1.6,3.6
